team_a,team_b,kalshi_event,polymarket_event,kalshi_yes_a,poly_yes_a,kalshi_yes_b,poly_yes_b,kalshi_url,polymarket_url
austin peay,morehead state,Morehead St. vs Austin Peay,Morehead State vs. Austin Peay,0.97,0.971,0.03,0.029,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12morepeay,https://polymarket.com/event/cfb-more-ausp-2026-09-12
ball state,stony brook,Stony Brook vs Ball St.,Stony Brook vs. Ball State,0.87,0.87,0.14,0.13,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12stonball,https://polymarket.com/event/cfb-stbr-ballst-2026-09-12
baylor,prairie view a and m,Prairie View A&M vs Baylor,Prairie View A&M vs. Baylor,0.99,0.9875,0.02,0.0125,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12pvbay,https://polymarket.com/event/cfb-pvam-bayl-2026-09-12
bethune cookman,stetson,Stetson vs Bethune-Cookman,Stetson vs. Bethune-Cookman,0.88,0.825,0.14,0.175,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12stetcook,https://polymarket.com/event/cfb-stet-bcook-2026-09-12
boise state,memphis,Memphis vs Boise St.,Memphis vs. Boise State,0.76,0.755,0.26,0.245,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12membsu,https://polymarket.com/event/cfb-mphs-boise-2026-09-12
boston college,rutgers,Rutgers vs Boston College,Rutgers vs. Boston College,0.61,0.605,0.41,0.395,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep11rutgbc,https://polymarket.com/event/cfb-rutger-boscol-2026-09-11
bowling green,nebraska,Bowling Green vs Nebraska,Bowling Green vs. Nebraska,0.04,0.028,0.98,0.972,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12bgsuneb,https://polymarket.com/event/cfb-bowlgr-nebr-2026-09-12
bryant,hampton,Bryant vs Hampton,Bryant vs. Hampton,0.62,0.59,0.41,0.41,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12bryhamp,https://polymarket.com/event/cfb-bryant-hamp-2026-09-12
bucknell,vmi,Bucknell vs VMI,Bucknell vs. VMI,0.74,0.75,0.26,0.25,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12buckvmi,https://polymarket.com/event/cfb-buck-vamil-2026-09-12
buffalo,fiu,Buffalo vs Florida International,Buffalo vs. Florida International,0.23,0.215,0.79,0.785,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12bufffiu,https://polymarket.com/event/cfb-buf-flint-2026-09-12
